title,Logo,Tag,Description,Price,temp_link
Research Studio,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Research%20Studio.png,Productivity,"Research Studio was created to help small businesses with limited UX and marketing budgets automate research analysis. It cuts user and customer research time by almost 2 thirds, providing an affordable solution without sacrificing quality.",Freemium,https://researchstudio.ai/
DeepBrain,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/DeepBrain.png,Video Generation,Generate AI avatar videos in minutes by inputting a script and utilizing the Text-to-Speech feature in over 80 languages. Choose from prebuilt video templates and create professional videos using the user-friendly online video editor.,Paid,https://www.deepbrain.io/features/ai-video-editor
Taskade,-,Productivity,"Multiple tools in one. A productivity powerhouse that unifies task management and workflow creation into a sleek tool, offering dynamic workspace formats, intelligent note-taking, and a diligent AI assistant for your professional life.",Paid,https://www.taskade.com/
guidde,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/guidde.png,Productivity,"Improve business storytelling with stunning onboarding documents, FAQs, and video documentation. Use personalized voice and language selections and auto-generate easy-to-follow workflow descriptions for all your support queries.",Freemium,https://www.guidde.com/
Adobe Firefly,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Adobe%20Firefly.png,Generative Art,"Adobe Firefly offers a versatile, creator-focused Generative AI for content creation and editing across various mediums. Generating custom vectors, brushes, and textures with just a few words or a sketch",Free,https://firefly.adobe.com/
2short.ai,-,Video Editing,"2short.ai effortlessly converts YouTube videos into engaging shorts featuring AI-generated captions, maximizing reach and growing your channel, while the algorithm promotes shorts and AI handles the editing hassle, all for free.",Free,https://app.2short.ai/account
VEED,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/VEED.png,Video Generation,"VEED's AI Video transforms storytelling—no camera needed. With a mix of AI tools, stock media, and diverse editing features for easy, high-quality content, you can create professional-grade videos in minutes.",Freemium,https://www.veed.io/tools/ai-video
ContentShake,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/ContentShake.png,Marketing,"An SEO-focused, reliable AI content writing assistant backed by SEMrush. Get content ideas, optimize copy with AI, and publish directly to WordPress. Become an expert on any topic without reading all the books.",Freemium,https://www.semrush.com/contentshake/
Recast Studio,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Recast%20Studio.png,Podcasting,"Recast Studio transforms podcast content into short video clips, blog posts, social posts, SEO & social media content, and more. Get better content with your brand's aesthetics faster. Turn podcasts into viral highlights.",Paid,https://recast.studio/
Submagic,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Submagic.png,Video Editing,"Add life to your videos with accurate transcriptions in 48 languages, trendy templates, enhanced captions with emojis and keyword highlights—all at the touch of a button. It's like waving a magic wand for global content creation",Paid,https://www.submagic.co/
RankIQ,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/RankIQ.png,SEO,"A comprehensive SEO Toolset with AI baked in. RankIQ is the highest-rated SEO tool in the world that helps you craft perfectly optimized posts, boost traffic, and win Google's love.",Paid,https://www.rankiq.com/
Mr Scraper,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Mr%20Scraper.png,Productivity,"MrScraper AI is the ultimate tool for website directory builders, ecommerce owners, data brokers, scientists, and analysts. With rich language models, flexible scrapers, and automatic structure understanding, data extraction becomes effortless. The visual schedule builder, integrated data parser, and API integration make it versatile and powerful.",Paid,https://mrscraper.com/
TeacherMatic,-,Education,"AI-fueled teacher-designed platform improving education by automating resource generation, lesson planning, and assessment creation, while ensuring quality and relevance.",Freemium,https://teachermatic.com/ref/5492
OpusClip,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/OpusClip.png,Social Media,"Transform your videos into engaging shorts with OpusClip's AI-powered tools. Its unique technology identifies key segments, provides viral potential scores, allows keyword-based clipping, and enhances content with emojis and keywords. Ideal for various video types, it supports multiple languages.",Paid,https://www.opus.pro/
SiteGPT,-,Chat,"Upgrade your website experience with a chatbot that truly understands your content, effortlessly created using SiteGPT. Get a knowledgeable and engaging AI assistant for your visitors",Paid,https://sitegpt.ai/
Copy AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Copy%20AI.png,Copywriting,Chat by Copy.ai is probably the best AI content writing software thanks to some unique and incredibly useful features. Real-time data helps research and create long form content. Add your brand voice and improve content in seconds. Rewrite entire paragraphs with a click.,Freemium,https://www.copy.ai/
Reword,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Reword.png,Copywriting,"Reword combines AI, collaboration, and research tools to create engaging content, further enhanced with seamless WordPress integration for automatic syncing and updates.",Paid,https://reword.com/
Merlin,-,Chat,"A versatile ChatGPT extension that offers AI assistance for tasks such as creating engaging social media content, summarizing lengthy videos or blogs, providing on-demand help, responding to Google queries, and crafting effective emails.",Paid,https://app.getmerlin.in/plans
HomeDesignsAI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/HomeDesignsAI.png,Generative Art,"Discover limitless home design possibilities with HomeDesignsAI. Get inspiration and efficient design solutions from photos of your home or proprety. Quickly reimagine interiors, exteriors, gardens, patios, and terraces using AI and 40+ design styles",Freemium,https://homedesigns.ai/special-offer
Text Cortex,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Text%20Cortex.png,Copywriting,"Generate copy for marketing, sales, and websites in your browser. Summarize pages in seconds. Fix grammar issues and and speed up your writing process. Integrate with 1000+ platforms.",Freemium,https://textcortex.com/
Framer,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Framer.png,Marketing,"Create elegant, responsive websites from a simple prompt. With a built-in AI copywriter, personalized themes, and intuitive customization features, it effortlessly transforms raw ideas into digital masterpieces.",Freemium,https://www.framer.com/ai
Motion,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Motion.png,Productivity,"Motion is an AI-powered personal assistant app that optimizes your schedule, manages tasks, streamlines project tracking, and arranges meetings efficiently, focusing on productivity and minimized interruptions.",Paid,https://www.usemotion.com/
PromptPal,-,Productivity,"Innovative tools to help users create engaging prompts for AI platforms like ChatGPT, making their interactions more effective, enjoyable, and geared towards productivity",Freemium,https://www.promptpal.net/
HEIGHTS AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/HEIGHTS%20AI.png,Education,"Your course creation copilot. Generate an entire course draft instantly, get catchy title ideas, compelling descriptions, and chat with the AI about improvements, SEO, and growth strategies",Paid,https://www.heightsplatform.com/features/ai
Klap,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Klap.png,Video Editing,"Klap transforms your YouTube content into digestible short videos for TikToks, Reels, and more using AI. With a unique focus on curation, framing, captions, and style, it ensures rapid, ready-to-publish video generation.",Paid,https://klap.app/
Marketmuse,-,SEO,"MarketMuse is a content optimization tool that uses artificial intelligence to help SEO professionals create well-crafted, SEO-focused articles that can rank high on search engine results pages.",Freemium,https://www.marketmuse.com/
Manatal,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Manatal.png,Recruitment,"Recruitment software solution Manatal.com provides organizations with a variety of AI-based tools to facilitate candidate sourcing, tracking, and hiring.",Paid,https://www.manatal.com/
Decktopus,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Decktopus.png,Productivity,"AI-driven, one-click presentation wizard that personalizes slides, streamlines layouts, and enriches content for standout results.",Paid,https://www.decktopus.com/
Looka,-,Graphic Design,"Looka leverages AI to create unique, customizable logo designs that reflect your brand's individuality and can be vividly projected onto various merchandise. No specialist technical design skills required.",Paid,https://www.looka.com
Nekton AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Nekton%20AI.png,Marketing,"Automate day-to-day business and personal tasks with Nekton AI's plain English workflow. Integrate with thousands of services, build product prototypes, collect user feedback, customize automation tasks, and mix manual and automated steps.",Freemium,https://nekton.ai/
Fliki AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Fliki%20AI.png,Generative Video,"Create high-quality videos without compromising on speed and quality. With Fliki, you’ll be able to quickly create videos from blog articles using realistic human-like voices in 75+ languages and 100+ dialects with branded subtitles",Freemium,https://fliki.ai/
Murf,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Murf.png,Text-to-Voice,"Voice generator for professional-quality audio. Use Murf's lifelike AI voices for podcasts, videos, and all your professional presentations.",Freemium,https://murf.ai/
tinyEinstein,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/tinyEinstein.png,Marketing,"Marketing automation, messaging, and pro-level email marketing with tailor-made templates, one-click complex automations, and automatic email capture for Shopify store owners.",Paid,https://www.tinyeinstein.ai/
Play.ht,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Play.ht.png,Text-to-Voice,"Transform your text into natural-sounding speech. Create voiceovers for videos, podcasts, & e-learning and use the Text to Speech API to integrate voice synthesis into your applications.",Paid,https://play.ht/
Clickup,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Clickup.png,Productivity,"ClickUp AI is an intelligent assistant that simplifies complex work processes by streamlining each step of the task, writing content and task details, and adding structure to your documents.",Freemium,https://clickup.com/features/ai
Plagiashield,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Plagiashield.png,AI Detection,"A plagiarism checker with a specialized ChatGPT detection Chrome extension. Monitor thousands of web pages, identify copycats, and generate DMCA notices to remove infringing material instantly.",Paid,https://plagiashield.com/
WellSaid Labs,-,Audio,"AI-based voice generator, effortlessly converts text into speech, offering versatile and captivating voiceovers. Widely trusted, including by industry giants such as Boeing and Peloton, it facilitates multi-collaborator updates, mimics human speech nuances for natural sounding voiceovers.",Paid,https://www.wellsaidlabs.com
Munch,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Munch.png,Video Editing,"Munch extracts the most engaging, contextual nuggets from long-form content and presents them as catchy, shareable clips. It uses GPT3, OCR, and NLP to analyze the clip's content and match it with social and marketing trends.",Paid,https://www.getmunch.com/
MosaChat-AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/MosaChat-AI.png,Education,"MosaChat-AI is an intelligent tutor that allows you to practice languages in real time, giving you feedback on your mistakes and helping you improve your language skills faster.",Paid,https://academy.mosalingua.com/mosaweb/
Rask,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Rask.png,Video Editing,"Rask is an AI-powered platform that makes video localization easy. You can add voiceovers, subtitles, and dubbing in multiple languages with accurate translations, saving time and effort.",Paid,https://app.rask.ai/
Surfer SEO,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Surfer%20SEO.png,SEO,"SERP-winning content writing with a click. From researching to optimizing articles—it's about driving traffic. Customize, refine, and improve your work with AI. Write and optimize your content in any language, leveraging real-time metrics for structure, word count, NLP-ready keywords, and images.",Paid,https://surferseo.com/ai/
Squirrly SEO,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Squirrly%20SEO.png,SEO,"An an all-in-one SEO plugin for WordPress with a new AI content creation feature that builds prompts based on context, right inside of WordPress. You also get keyword research, content optimization, SEO optimization features, technical SEO fixes and suggestions, site audits, rank tracking, and more.",Paid,https://plugin.squirrly.co/
Chaindesk,-,Chat,"Chaindesk offers a unique, no-code, AI chatbot solution customized to your specific data for improved business operations. Have intelligent interactions with your documents and offer multilingual support to customers.",Freemium,https://www.chaindesk.ai/
Beehiiv,-,Marketing,"Beehiiv is a rapidly growing newsletter platform with powerful AI features for content creation, newsletter personalization, and productivity. Create content automation workflows and optimize for diverse audiences.",Freemium,https://www.beehiiv.com/create/ai
Pixlr,-,Image Editing,"Pixlr is an advanced, web-based graphic design and photo editor with AI-powered features to help you create pro graphics and designs quickly. Remove backgrounds, adjust the look, remove blemishes, and turn your photos into painted ar",Freemium,https://shareasale.com/r.cfm
tl;dv,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/tl%3Bdv.png,Productivity,"Streamline your meetings and enhance collaboration with tl;dv's automated recording, transcription, and summarization features. Capture and document important points from every meeting.",Freemium,https://tldv.cello.so/AmqTDTq5Inc
Katteb,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Katteb.png,Copywriting,"Katteb AI writer verifies information in advance of writing and is capable of covering current affairs. And with the chat feature, you can write content based on real-time data from the internet or YouTube videos. Use saved snippets or uploads to write about specific topics or content based on URLs.",Paid,https://katteb.com/en/
Easy Peasy,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Easy%20Peasy.png,Copywriting,"Easy content and image creation with a GPT-4 chatbot which intelligently interacts, fetches URLs, and transcribes speech with precision, offering a slick AI-enhanced digital experience.",Freemium,https://easy-peasy.ai/
SE Ranking,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/SE%20Ranking.png,SEO,"SE Ranking's AI-powered assistant helps SEO experts, marketers, copywriters, and website owners create SEO-friendly content faster. The AI Writer can paraphrase competitors' content, while the Content Idea Finder and Content Editor provide in-depth keyword analysis and content optimization capabilities.",Paid,https://seranking.com/content-marketing-platform.html
Originality AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Originality%20AI.png,AI Detection,The world's first AI Detector and Plagiarism Checker for content and entire websites. Find out if your content was created using artificial intelligence tools and identify any plagiarism.,Paid,https://app.originality.ai/signup
Semrush outline builder,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Semrush%20outline%20builder.png,SEO,"By combining AI and SEO insights, Semrush's Outline Builder helps craft high-ranking content. With its ready-to-use suggestions, outlines, competitor analyses, and detailed briefs, it simplifies content creation.",Freemium,https://www.semrush.com/outline-builder/
ContentStudio AI Bot,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/ContentStudio%20AI%20Bot.png,Social Media,"ContentStudio’s AI Writer simplifies social media content creation with its automated scheduling, discovery and creation tools. It generates engaging captions for images; corrects grammar; adds emojis to hashtags; creates brand-aligned images from scratch & enhances existing content",Paid,https://contentstudio.io/ai-writer
Notion AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Notion%20AI.png,Productivity,Notion's AI writing assistant is already embedded in the world's most popular productivity app. It can write entire blog posts or brainstorm ideas. And the AI's capabilities will expand to project management and other areas of productivity and workflow later.,Freemium,https://www.notion.so/product/ai
CourseAI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/CourseAI.png,Marketing,"Build an online course with an AI assistant that does topic generation, niche selection, module content creation, and quiz generation. Enhance your course with video scripts, voice-overs, and marketing tools automatically.",Freemium,https://courseai.com
10Web,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/10Web.png,Marketing,"10Web's AI Website builder and AI content Assistant help you build a website and populate it with high quality, plagiarism-free content thanks to GPT-3 and other large language models.",Paid,https://10web.io/ai-website-builder/
Tweet Hunter,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Tweet%20Hunter.png,Social Media,"Let AI analyze your tweets, edit your content, rewrite winning tweets, and automatically schedule the best stuff. Get access to millions of viral tweets, AI-powered content suggestions, and advanced scheduling and automation tools.",Paid,https://tweethunter.io/
Anyword,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Anyword.png,Marketing,"Tailored, data-driven content for impressive results. Generative writing and ad copy with personalized results. And Anyword's Chrome extension lets you take your audience and performance data anywhere—to ChatGPT, Notion AI (and other APIs) with just one click.",Freemium,https://anyword.com/
HoppyCopy,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/HoppyCopy.png,Marketing,Write better emails faster with HoppyCoppy's AI Copy Editor. Generate powerful content for hundreds of campaigns. Get unique ideas and attention-grabbing headlines. Create visually stunning newsletters.,Paid,https://www.hoppycopy.co
Remove BG,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Remove%20BG.png,Image Editing,"Thanks to remove.bg's clever artificial intelligence, you can quickly and easily remove backgrounds from images in 5 seconds or less.",Paid,https://www.remove.bg/
